"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"Bin.6.62",0.98661,0.96409,1.3419,1.3146,1.31,1.3096,1.3047,1.3007
"Bin.4.22",0.98641,0.95857,0.90255,0.87832,0.87027,0.86161,0.85849,0.85662
"Bin.3.14",0.98065,0.91814,0.90764,0.89465,0.88669,0.87835,0.87759,0.87487
"Bin.9.98",0.97844,0.9188,1.2674,1.2342,1.3165,1.3386,1.3611,1.3619
"Bin.7.02",0.97285,0.93243,0.95043,0.94001,0.93238,0.92336,0.917,0.91444
"Bin.1.62",0.96113,0.89901,0.84224,0.82019,0.81454,0.80688,0.80272,0.80053
"Bin.2.30",0.94078,0.88698,0.83079,0.80853,0.8017,0.79439,0.78845,0.79
"Bin.6.38",0.93949,1.2788,1.5238,1.5481,1.5438,1.5285,1.5175,1.5132
"Bin.6.82",0.93946,0.87592,0.84031,0.81781,0.80995,0.80317,0.80277,0.80165
"Bin.1.66",0.93246,0.87187,0.81694,0.79508,0.78887,0.78381,0.77827,0.77584
"Bin.7.30",0.91672,0.85021,0.79881,0.77943,0.77617,0.78606,0.79982,0.80844
"Bin.7.06",0.90735,0.89847,0.89669,0.89813,0.89266,0.88706,0.88453,0.8843
"Bin.2.10",0.90196,0.85514,0.80159,0.78154,0.77526,0.76821,0.7675,0.76536
"Bin.9.86",0.89693,1.0247,0.96219,0.97097,1.159,1.1743,1.1709,1.1676
"Bin.6.54",0.88797,0.82941,1.3789,1.3561,1.3527,1.3516,1.3439,1.3406
