"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"Bin.8.58",-0.038797,-0.03791,-0.072021,-0.097101,0.039254,-0.016907,-0.053285,0.057941,0.039616,-0.026879,-0.021937,-0.031628,0.073209,0.024919,-0.077236,0.053899,0.041044,0.048473,-0.034511,0.067122,-0.0038006,-0.015574,0.059369,-0.0081458,-0.041303,-0.010906,-0.044424,-0.027087,0.0039698,0.03449,-0.04178,-0.0072051,0.05186,0.028613,0.0019753,0.0075118,-0.066688,0.024399,0.044962,-0.070004,-0.016041,0.020798,0.017947,-0.041732,0.0049313,0.0094737,0.026432,-0.06795,-0.030968,-0.13895
"Bin.8.54",-0.018342,0.023591,0.041349,0.0093003,0.030558,0.0040939,-0.071647,0.10118,0.07288,0.043831,0.060942,-0.042121,0.13,0.024369,-0.061014,0.021238,0.042651,0.12137,-0.02627,0.016759,0.056039,-0.042691,0.020296,-0.060727,-0.014383,-0.050563,0.0057119,0.0053204,0.090906,0.039806,-0.0036336,0.064816,0.082824,-0.035715,-0.033241,0.00071948,-0.090763,-0.059493,-0.11391,-0.052878,-0.096121,0.05587,0.018533,-0.066515,0.021902,-0.06586,0.0074445,0.11425,-0.14216,-0.088989
"Bin.8.50",-0.031986,-0.022021,-0.021526,-0.03634,0.0078972,-0.0021806,-0.095876,0.069143,0.051098,0.048267,-0.0068309,-0.059271,0.10186,0.076506,-0.060257,0.014642,0.063378,0.10551,-0.019265,0.017659,0.00058233,-0.086253,0.031487,-0.04205,-0.023827,0.0018749,0.0061489,0.016983,0.048979,0.062651,-0.010363,0.097481,0.045406,-0.081092,0.014402,0.082216,-0.026307,-0.11521,-0.12919,-0.0017366,-0.061982,0.071764,0.14019,-0.0088093,-0.11405,-0.066703,-0.011837,0.053503,0.09194,0.027178
"Bin.8.46",-0.01312,-0.021174,-0.025008,-0.024638,-0.024896,0.01611,0.0058841,0.039921,0.0018946,0.036407,-0.060043,-0.043691,0.10009,0.086707,0.11324,0.025593,-0.039926,0.085959,0.014188,-0.0012442,0.15454,0.032944,0.050472,0.022206,-0.021672,0.075183,-0.082599,-0.083823,0.032952,-0.029405,0.0021552,-0.11405,0.055515,0.077636,0.051422,0.041277,-0.14079,0.20221,0.13898,0.091871,-0.08273,0.0096076,0.11369,0.010446,-0.017228,0.13999,-0.050437,0.085556,0.092533,0.052255
"Bin.8.42",-0.023754,-0.049308,-0.095011,-0.12268,0.038379,-0.043681,-0.065323,0.0778,0.029455,-0.021349,-0.061009,-0.038374,0.054876,0.05988,-0.051503,0.045918,0.10269,0.092943,-0.094269,0.087031,-0.030387,-0.044058,0.048267,-0.011755,-0.07727,0.053957,-0.0062357,-0.0025053,-0.020993,-0.049173,-0.025956,-0.00038165,0.093344,0.031205,0.034814,-0.037038,0.0084187,-0.0049033,0.075694,0.026174,-0.026162,-0.10271,0.0021516,0.042636,-0.087293,0.02931,0.040885,0.048993,-0.13812,-0.027255
"Bin.8.38",-0.019865,-0.040565,-0.096918,-0.10946,0.010281,-0.030809,-0.0018798,0.095627,0.04996,0.0079397,-0.064668,0.012185,0.043855,-0.010338,-0.057028,0.082963,0.026467,-0.041477,-0.0091624,0.080623,0.047724,0.0030812,0.045155,0.049869,0.031571,-0.095002,-0.013909,-0.056869,0.00073383,-0.043917,-0.0101,-0.051461,0.0036941,0.061945,0.042427,-0.089398,0.02567,-0.0011059,-0.054074,-0.022079,-0.08127,0.0082578,-0.073804,-0.027991,0.11054,-0.065693,0.047315,-0.047255,-0.062486,0.12579
"Bin.8.34",-0.019717,-0.0088609,-0.048113,-0.066763,0.0085801,-0.030561,0.047238,-0.028744,0.053292,0.0061158,-0.083011,-0.012221,0.089246,0.060528,0.010606,0.074775,-0.030764,-0.0277,0.049352,-0.030717,0.041851,0.0042422,0.091584,0.042503,-0.049441,-0.027046,-0.016274,-0.095422,-8.998e-05,0.016624,-0.033208,0.044091,-0.069207,0.055895,-0.11782,-0.049278,-0.043802,-0.14724,-0.045066,-0.055831,0.074824,0.084841,-0.05497,-0.028089,-0.011549,-0.11355,0.022775,0.030829,0.010061,0.021711
"Bin.8.30",-0.025049,-0.033114,-0.066475,-0.086621,0.037809,-0.040673,-0.010728,-0.038661,0.042821,-0.0047985,-0.063635,-0.02402,0.083956,0.093286,-0.0024165,-0.039827,0.018081,-0.012795,-0.053588,0.0010317,0.003809,0.015144,0.060647,0.043946,-0.038084,-0.087239,0.057038,-0.0093772,0.058007,0.10467,0.11388,0.037563,0.036712,-0.058365,0.072199,-0.00068412,0.024614,0.062592,-0.097991,-0.0036463,-0.08437,0.037166,-0.019127,-0.085075,0.033039,0.01089,0.17987,0.071535,0.090109,0.16099
"Bin.8.26",-0.020013,-0.044155,-0.077765,-0.097678,0.017357,-0.041684,-0.022468,0.027148,0.062268,-0.02517,-0.0062712,0.0070193,0.029827,0.062285,-0.027079,0.015063,0.023449,-0.020342,-0.062845,-0.0067738,0.046472,-0.035537,0.065431,0.02542,-0.0041942,-0.014172,0.046994,-0.099575,0.0030459,-0.0010907,0.051352,-0.062856,0.0074833,-0.10166,0.086162,-0.089129,0.012478,0.021782,0.13995,0.014786,-0.14151,-0.056611,0.012505,0.035396,-0.064701,0.053805,0.059871,-0.1287,0.057682,0.1995
"Bin.8.22",-0.0029622,-0.023994,-0.05456,-0.076766,-0.015221,-0.079458,0.049273,0.038172,0.057099,0.029556,0.030223,0.015633,0.12611,0.052404,-0.0090884,0.047128,-0.0015726,0.0080191,-0.045091,-0.026669,0.020211,0.028747,0.065597,0.037925,0.012374,-0.025651,-0.031642,-0.033713,0.019806,-0.01349,-0.048794,-0.010477,-0.054581,0.02944,-0.055506,-0.039735,0.02884,-0.030785,-0.0044705,0.072463,0.1122,0.0095292,0.018225,-0.01473,-0.019118,-0.10661,-0.1461,0.24178,0.08588,-0.013838
