"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50"
"Bin.8.78",-0.0036387,0.10904,-0.023456,-0.03405,0.089712,-0.05554,0.087352,0.0092991,0.04452,-0.081956,-0.080829,-0.021566,0.05237,0.071131,0.073237,-0.11772,-0.10859,0.024545,-0.034647,0.046641,0.12139,-0.12487,-0.062164,0.019143,-0.22364,-0.075221,0.062702,-0.10198,-0.034846,-0.022802,-0.081802,-0.12618,-0.044043,-0.029207,0.042569,0.061395,-0.013211,0.064774,-0.043013,-0.18995,0.10764,-0.087364,-0.013358,0.036639,0.015957,0.076995,-0.078037,-0.095306,0.088655,0.14597
"Bin.8.74",-0.0086381,0.082836,0.06875,0.023645,0.14047,-0.088232,-0.009815,0.046209,0.088486,-0.0064235,0.068976,0.034402,-0.077224,0.067375,0.11758,-0.17651,0.081903,-0.020502,-0.1173,0.034249,0.033106,-0.13573,-0.021099,-0.035431,0.016855,0.10942,0.0055755,0.03593,-0.064953,0.11429,-0.015609,-0.081708,-0.12361,0.0038082,0.00061219,0.033136,-0.022221,-0.086903,0.022336,-0.080156,0.0019524,0.0945,0.089592,0.012647,-0.011856,-0.013612,0.00097315,-0.029392,-0.090499,-0.16227
"Bin.8.70",0.0015427,0.080089,0.062476,0.049814,0.12567,-0.097058,0.010299,0.032024,0.1142,0.0024564,0.11183,0.071947,-0.082928,0.0070354,0.078957,-0.076692,0.11775,-0.018715,-0.18299,-0.032452,-0.063945,-0.038791,0.040599,-0.023811,0.14663,0.19537,0.037105,-0.0058652,0.027625,0.0031991,-0.0065085,-0.03128,-0.054488,0.055536,-0.1035,-0.0051109,-0.050614,-0.048314,-0.096219,0.023088,-0.061028,-0.0052825,-0.085058,0.052624,-0.066402,0.0067568,-0.032313,-0.043144,-0.0017643,0.041427
"Bin.8.66",0.0054591,0.14303,-0.00059942,0.039779,0.10332,-0.044944,0.014981,0.037742,0.022269,-0.080293,0.0090981,-9.3311e-05,-0.066479,0.064585,0.047893,0.0055124,-0.02706,0.0023459,-0.010474,-0.105,0.0095371,-0.034492,-0.04053,0.012179,0.00203,0.0015861,0.04253,-0.0096665,-0.10755,-0.078653,-0.010789,0.0017574,-0.098418,0.020642,0.0076931,0.048757,0.0039738,-0.012861,0.022468,-0.096442,-0.021185,-0.044095,-0.05977,-0.01957,-0.034212,-0.027481,-0.081603,0.016115,0.011727,-0.015533
"Bin.8.62",-0.0016015,0.083166,0.038847,0.043758,0.14264,-0.14749,-0.041871,0.048217,0.095154,-0.035342,0.00086214,0.049124,-0.13248,0.015158,-0.0013531,-0.058888,0.079748,-0.097612,-0.055466,-0.10423,-0.12625,-0.022338,0.069522,-0.078207,0.011737,-0.040189,0.08082,0.057245,-0.10862,0.011946,0.021181,0.041897,-0.0085948,-0.045824,-0.018723,-0.052447,0.055308,-0.022042,-0.007145,-0.0035046,0.1021,0.023463,-0.005017,0.015358,-0.03476,0.032386,-0.040358,-0.028809,0.055737,0.10494
"Bin.8.58",-0.0087591,0.13703,0.0090074,0.057948,0.11086,-0.079497,-0.043896,0.069937,-0.021907,-0.0080089,-0.022011,-0.04509,0.00060117,0.065246,6.3304e-05,0.0010587,-0.014973,-0.043666,0.027962,-0.062951,0.015026,-0.067883,0.0024568,-0.018457,0.061809,-0.09201,-0.021845,0.02032,0.0060813,-0.025323,0.087649,-0.015313,0.0025758,-0.022402,0.017109,-0.068746,-0.0095743,0.0098063,0.031563,0.038124,0.019673,0.02884,-0.026412,-0.029668,0.040713,-0.028446,0.041507,-0.074875,-0.0036462,0.078352
"Bin.8.54",-0.077268,-0.021673,-0.081008,0.052372,0.073331,-0.11202,-0.071336,0.073893,-0.087712,-0.13448,-0.075556,-0.07676,0.081581,0.085846,-0.039737,0.039223,-0.053941,0.024617,0.031997,-0.13896,-0.002265,-0.085025,0.025391,0.053505,0.0098034,0.07845,-0.091599,0.11126,-0.009527,-0.038547,0.0051347,-0.026205,-0.018059,-0.014194,-0.063547,-0.082862,-0.096884,0.035794,-0.028336,0.061527,0.019784,0.011631,-0.11053,-0.0055097,-0.097228,-0.012032,0.026757,0.083263,-0.10069,0.080715
"Bin.8.50",-0.043582,0.086287,-0.052496,0.023804,0.10755,-0.087688,-0.044665,0.035991,-0.13472,-0.10843,-0.024422,-0.078362,0.074936,0.060013,0.073988,0.015772,-0.06799,-0.01552,0.073392,-0.15184,0.01965,-0.11134,0.0014713,-0.054989,-0.0055158,0.064154,-0.10403,0.067196,-0.13097,-0.016174,-0.033565,-0.081962,-0.035358,0.037156,-0.048085,0.00078167,-0.014268,0.019414,-0.030076,0.14313,0.030815,-0.16252,-0.080624,0.10168,0.0097349,0.076289,-0.025298,0.016296,0.11688,-0.12549
"Bin.8.46",0.0063805,0.062644,-0.043699,0.067326,0.018102,-0.0052223,-0.098812,-0.014645,-0.11157,-0.060697,0.2044,-0.085667,-0.0037464,0.043958,0.10882,0.075696,-0.015593,0.16992,-0.047345,0.11443,-0.023371,-0.10488,0.19962,0.013236,-0.089912,-0.10402,0.20075,0.089708,0.16181,-0.10506,-0.00012354,0.031248,0.048304,-0.029809,0.042773,0.1234,-0.035551,0.12531,0.046162,0.03433,-0.045112,0.18099,-0.11528,0.030661,0.14708,0.070469,-0.10931,0.028007,0.025683,0.040811
"Bin.8.42",0.019361,0.12504,0.0020112,0.038964,0.13854,-0.075521,-0.011254,0.076476,-0.041121,0.024432,-0.013035,-0.09045,-0.01315,0.033739,0.03536,-0.04467,-0.042211,0.0031811,0.03335,-0.048283,0.060377,-0.093031,-0.029131,-0.022791,-0.0092724,-0.065591,0.0066171,-0.020446,0.0026308,-0.016939,0.032039,-0.12093,0.059124,-0.013916,0.04845,0.020057,0.032769,-0.044705,0.054347,-0.0044563,0.057165,0.0086995,0.12181,-0.052203,0.078189,-0.0027329,0.027561,0.10829,-0.11242,0.076994
"Bin.8.38",0.034498,0.12418,-0.016702,0.085059,0.10527,-0.082817,-0.023819,0.036411,0.040484,0.069359,0.026823,-0.031432,-0.0058798,-0.01995,-0.017414,0.091808,-0.030786,-0.071983,-0.047127,-0.03403,-0.01272,0.047758,0.04203,-0.058472,0.11302,-0.023915,0.0095951,-0.0097316,0.065179,-0.0099066,-0.00016616,-0.038858,0.073054,-0.028524,-0.028468,-0.020412,-0.010059,-0.081379,0.023177,-0.053597,-0.039959,0.026947,-0.016138,-0.025857,-0.088477,-0.10668,0.033893,0.075324,-0.00048368,-0.028264
"Bin.8.34",0.015389,0.10371,-0.032884,0.13332,0.041998,0.090821,-0.064102,-0.0089004,0.043832,0.063077,0.080074,0.020309,-0.050829,0.10293,0.0096445,0.14855,0.018263,0.016793,0.10813,-0.032035,0.0096819,0.0037527,0.028978,0.01303,-0.023819,-0.058391,-0.13791,0.019312,-0.051596,0.027233,-0.12672,0.0095397,-0.042918,-0.074449,-0.0014678,-0.068979,0.054557,0.013583,-0.037252,0.035993,0.06392,0.0019432,-0.025089,-0.070495,-0.15009,0.055508,0.21062,-0.053425,0.06893,-0.065116
"Bin.8.30",0.013883,0.13312,-0.01985,0.045977,0.10407,0.074666,-0.039535,0.039412,-0.00086784,0.0060085,-0.0074884,0.0042752,0.017876,0.084845,0.047892,-0.033129,-0.038381,0.087191,0.01457,-0.013367,-0.012458,0.045692,-0.11808,0.06403,0.070993,0.055147,-0.035942,0.064629,-0.087922,0.034307,0.030482,0.067266,0.081532,0.027247,-0.060354,0.093552,-0.0091932,0.0071846,-0.027368,0.026599,-0.26609,-0.01719,-0.09661,0.0094263,-0.05877,-0.058816,0.098597,0.047484,0.059558,-0.0022218
"Bin.8.26",0.031162,0.13321,-0.032402,0.057566,0.10623,-0.027973,-0.032835,0.041512,0.025003,0.022462,-0.021508,-0.0057641,0.02512,-0.0035888,0.055593,-0.03859,-0.0045836,-0.06097,-0.0033831,0.065959,-0.1001,-0.086136,-0.050516,0.062971,0.039692,-0.053757,0.0083253,0.095909,0.01728,0.025704,0.013697,-0.013555,0.056048,0.06905,-0.0072967,0.12533,0.028462,-0.10544,0.084982,0.0070392,-0.10138,0.0049889,0.17762,-0.12682,0.048304,-0.09881,-0.021275,-0.092258,0.064753,0.008975
