"","Comp. 1","Comp. 2","Comp. 3","Comp. 4","Comp. 5","Comp. 6","Comp. 7","Comp. 8"
"Bin.2.74",0.63535,0.65678,0.64995,0.65382,0.65131,0.64874,0.64709,0.64998
"Bin.2.86",0.62721,0.59009,0.65606,0.66627,0.66212,0.66244,0.66047,0.66762
"Bin.3.22",0.61773,0.58076,0.67231,0.7246,0.79474,0.79406,0.79524,0.79399
"Bin.0.58",0.61229,0.59645,0.66192,0.68269,0.68594,0.68589,0.68657,0.68566
"Bin.0.46",0.60732,0.58193,0.64462,0.64777,0.64349,0.64875,0.66576,0.66547
"Bin.9.14",0.59125,0.6215,0.61661,0.63768,0.63468,0.63284,0.63123,0.63051
"Bin.9.50",0.58731,0.57491,0.60076,0.59598,0.59382,0.61109,0.626,0.6336
"Bin.7.14",0.5859,0.60582,0.66154,0.6584,0.65404,0.6635,0.66155,0.66195
"Bin.3.30",0.58555,0.71094,0.70321,0.76254,0.77251,0.77725,0.79514,0.79621
"Bin.2.34",0.56884,0.5429,0.53038,0.61931,0.61582,0.61643,0.61721,0.62107
"Bin.2.14",0.54985,0.7085,0.70807,0.69878,0.7169,0.71665,0.71493,0.71379
"Bin.6.42",0.52851,0.60043,0.60274,0.61832,0.61696,0.65033,0.65079,0.65023
"Bin.0.54",0.52479,0.51296,0.60171,0.624,0.62518,0.62499,0.62412,0.62319
"Bin.8.46",0.51954,0.55454,0.56684,0.55945,0.56756,0.56524,0.56401,0.56622
"Bin.3.10",0.51604,0.49791,0.57156,0.70598,0.72054,0.71929,0.72039,0.72222
"Bin.8.82",0.50154,0.52865,0.55846,0.56214,0.56,0.55775,0.55669,0.55617
"Bin.8.10",0.5008,0.49977,0.49554,0.51235,0.51194,0.5213,0.52055,0.51972
